iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.213407,8.197682,0.173358
2,1,0.215688,6.564345,0.201385
3,1,0.219720,8.408401,0.112574
4,1,0.237315,5.976881,0.181936
5,1,0.212811,6.126861,0.185138
6,1,0.226991,3.754674,0.168507
7,1,0.209790,7.858173,0.117990
8,1,0.223714,4.706501,0.165217
9,1,0.214319,3.507749,0.229542
10,1,0.206412,7.356640,0.134297
11,1,0.209502,8.389174,0.224836
12,1,0.195129,5.470945,0.302684
13,1,0.197798,5.693869,0.297367
14,1,0.210071,5.467268,0.322173
15,1,0.223560,4.698739,0.154353
16,1,0.216948,7.685966,0.088997
17,1,0.211160,3.281170,0.121754
18,1,0.200879,3.552054,0.138507
19,1,0.198153,4.894189,0.197592
20,1,0.187512,2.781194,0.142921
21,1,0.186964,4.185619,0.224547
22,1,0.203940,4.466458,0.186427
23,1,0.193786,6.450195,0.142079
24,1,0.197804,6.360731,0.086312
25,1,0.194402,2.229024,0.086858
26,1,0.193458,5.731586,0.063060
27,1,0.190417,5.752228,0.120722
28,1,0.219886,4.594713,0.115452
29,1,0.205567,3.379366,0.110236
30,1,0.190842,4.447886,0.065678
31,1,0.205497,3.517279,0.218235
32,1,0.204763,3.615211,0.225039
33,1,0.206065,2.975260,0.197352
34,1,0.199382,4.837339,0.176692
35,1,0.218817,3.975757,0.160529
36,1,0.204500,5.618779,0.143030
37,1,0.195377,3.204251,0.201197
38,1,0.199852,5.212292,0.060193
39,1,0.214046,6.219192,0.103899
40,1,0.204582,3.508490,0.141710
41,1,0.222856,3.549676,0.094001
42,1,0.194431,3.409870,0.130325
43,1,0.204125,5.908188,0.145245
44,1,0.204752,3.970768,0.100179
45,1,0.198003,1.432019,0.246324
46,1,0.203466,3.624389,0.187932
47,1,0.205038,7.090575,0.159257
48,1,0.202211,7.265688,0.053265
49,1,0.200309,5.294800,0.156076
50,1,0.219585,4.575429,0.152655
51,1,0.210484,5.691597,0.194202
52,1,0.201343,6.394215,0.175837
53,1,0.217494,5.092672,0.194134
54,1,0.213372,6.268706,0.096864
55,1,0.212202,9.193279,0.096313
56,1,0.216000,5.383567,0.223287
57,1,0.210591,3.977562,0.296214
58,1,0.214181,4.314960,0.223743
59,1,0.213972,3.843191,0.086026
60,1,0.209924,4.769312,0.239103
61,1,0.221229,3.912165,0.132384
62,1,0.212067,2.823758,0.158379
63,1,0.204948,3.578146,0.117559
64,1,0.214996,3.008687,0.264677
65,1,0.230140,4.649216,0.268419
66,1,0.211037,3.367858,0.231064
67,1,0.210207,2.907248,0.145797
68,1,0.223553,4.953263,0.157958
69,1,0.217517,4.910186,0.143605
70,1,0.219849,2.304842,0.165968
71,1,0.205325,2.401540,0.113892
72,1,0.219042,3.435737,0.260580
73,1,0.208524,6.634167,0.038957
74,1,0.222700,3.823760,0.158882
75,1,0.229775,4.409792,0.196496
76,1,0.240766,4.921735,0.105089
77,1,0.221755,2.828522,0.251694
78,1,0.224207,4.813358,0.172074
79,1,0.202420,4.605917,0.077104
80,1,0.219514,4.424248,0.130448
81,1,0.224817,6.900383,0.139343
82,1,0.218051,4.531251,0.049851
83,1,0.220368,3.218421,0.127240
84,1,0.240321,4.128267,0.169488
85,1,0.225100,4.796829,0.239667
86,1,0.241500,5.002603,0.288077
87,1,0.240462,6.364870,0.116509
88,1,0.229119,5.523043,0.209211
89,1,0.243809,1.108639,0.242041
90,1,0.227631,4.871154,0.218602
91,1,0.216282,1.661694,0.097326
92,1,0.234440,6.383229,0.083642
93,1,0.242473,3.299322,0.129259
94,1,0.208129,2.599780,0.189045
95,1,0.238356,4.069367,0.255801
96,1,0.236845,6.202233,0.125310
97,1,0.231238,2.991108,0.114786
98,1,0.243848,7.385970,0.119015
99,1,0.248008,2.527214,0.138500
100,1,0.220694,4.632042,0.114061
101,1,0.232742,2.704833,0.113808
102,1,0.241369,1.619958,0.116053
103,1,0.232194,5.651666,0.198709
104,1,0.208630,3.847606,0.163107
105,1,0.227610,4.072741,0.104496
106,1,0.250882,4.332061,0.214849
107,1,0.234207,2.811814,0.119583
108,1,0.234512,1.607347,0.216867
109,1,0.251050,8.618973,0.193711
110,1,0.228755,4.064261,0.114602
111,1,0.249645,7.438727,0.206185
