iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.188422,5.330017,0.079781
2,1,0.197857,2.649699,0.188894
3,1,0.208444,5.684381,0.076345
4,1,0.217729,6.794528,0.145060
5,1,0.199354,8.209161,0.066800
6,1,0.196978,2.630362,0.135469
7,1,0.182491,4.751219,0.218657
8,1,0.201868,3.106492,0.138806
9,1,0.188413,4.353009,0.128719
10,1,0.196350,5.898557,0.142645
11,1,0.200958,4.261798,0.149479
12,1,0.210528,4.024239,0.095235
13,1,0.183074,3.242871,0.118444
14,1,0.181606,7.008533,0.189559
15,1,0.179566,5.325642,0.165464
16,1,0.190670,5.228937,0.244104
17,1,0.197438,6.115133,0.202464
18,1,0.194819,5.641684,0.135477
19,1,0.208124,4.026506,0.128232
20,1,0.198846,4.026620,0.112233
21,1,0.200222,4.171439,0.138846
22,1,0.187533,5.955044,0.175375
23,1,0.197602,1.924584,0.093031
24,1,0.187352,4.321043,0.116438
25,1,0.200124,7.300099,0.182125
26,1,0.183628,3.676596,0.186331
27,1,0.191793,5.320746,0.193183
28,1,0.175449,5.165694,0.247070
29,1,0.185098,2.439856,0.073613
30,1,0.199327,4.054907,0.188333
31,1,0.186873,6.251418,0.139790
32,1,0.187630,2.729823,0.308692
33,1,0.173523,4.051336,0.105158
34,1,0.180952,2.705579,0.069605
35,1,0.194348,4.523113,0.185123
36,1,0.182272,4.110466,0.136811
37,1,0.195614,4.147893,0.136127
38,1,0.190258,4.545005,0.103393
39,1,0.204273,2.995683,0.197008
40,1,0.196498,5.734359,0.152190
41,1,0.180033,4.724568,0.088325
42,1,0.177759,5.801285,0.056442
43,1,0.199017,1.757100,0.094875
44,1,0.197274,4.135815,0.409697
45,1,0.187336,3.528130,0.113530
46,1,0.189808,3.392581,0.113355
47,1,0.195845,4.015225,0.126459
48,1,0.174613,7.462118,0.070705
49,1,0.185003,2.912131,0.103260
50,1,0.170477,5.934593,0.140906
51,1,0.179783,4.992656,0.130096
52,1,0.194039,5.759737,0.102544
53,1,0.180623,3.011278,0.061077
54,1,0.186592,3.379570,0.366764
55,1,0.182262,2.678936,0.169973
56,1,0.182557,5.229905,0.087200
57,1,0.176303,3.899601,0.178091
58,1,0.196143,4.433916,0.043953
59,1,0.173892,7.203047,0.099136
60,1,0.184660,4.799236,0.104358
61,1,0.178003,1.992461,0.264684
62,1,0.178319,2.843182,0.147677
63,1,0.175322,3.308196,0.094536
64,1,0.189999,4.586905,0.096898
65,1,0.188208,4.143211,0.144509
66,1,0.173457,3.198796,0.141876
67,1,0.184200,4.930637,0.127514
68,1,0.192014,3.399632,0.068372
69,1,0.204510,6.068035,0.195632
70,1,0.184217,6.095039,0.112320
71,1,0.170945,4.885213,0.171136
72,1,0.173053,5.446240,0.136504
73,1,0.187149,2.782603,0.086036
74,1,0.185019,5.686862,0.066850
75,1,0.183421,6.151491,0.092922
76,1,0.174577,3.404409,0.073663
77,1,0.193086,3.519819,0.255802
78,1,0.189963,4.015707,0.126977
79,1,0.175215,3.194161,0.124694
80,1,0.174719,3.488886,0.099085
81,1,0.187476,2.341195,0.194434
82,1,0.186294,5.331296,0.125086
83,1,0.171992,4.874787,0.080594
84,1,0.176822,4.441941,0.105274
85,1,0.168600,4.944501,0.136965
86,1,0.179128,4.081079,0.241749
87,1,0.186715,3.086525,0.152417
88,1,0.177888,3.935495,0.114095
89,1,0.181334,2.063617,0.160499
90,1,0.173768,2.000806,0.055534
91,1,0.185835,2.589503,0.102705
92,1,0.177148,3.432795,0.159874
93,1,0.170842,2.282400,0.066598
94,1,0.190678,1.971970,0.230678
95,1,0.192137,2.826032,0.213382
96,1,0.184441,4.486380,0.141784
97,1,0.182926,5.682873,0.156432
98,1,0.188314,4.134226,0.234333
99,1,0.181307,1.786300,0.058272
100,1,0.181652,3.180305,0.160705
101,1,0.176757,4.776607,0.086424
102,1,0.186887,2.680102,0.164009
103,1,0.171730,6.804885,0.090949
104,1,0.179984,2.352325,0.140224
105,1,0.184734,3.185753,0.081192
106,1,0.169005,5.965284,0.094954
107,1,0.173837,2.334247,0.193512
108,1,0.177917,2.490720,0.066832
109,1,0.184016,3.294281,0.153565
110,1,0.183864,4.375642,0.112112
111,1,0.158069,5.350148,0.116114
112,1,0.180041,2.401803,0.170423
113,1,0.174648,4.982325,0.114418
114,1,0.187039,2.287302,0.275339
115,1,0.192693,7.390097,0.161845
116,1,0.173402,6.781240,0.116147
117,1,0.211575,0.459507,0.165748
118,1,0.189303,3.172247,0.162481
119,1,0.176654,2.441676,0.088324
120,1,0.175595,1.512962,0.109418
121,1,0.196990,3.837961,0.128630
122,1,0.178441,3.705011,0.041628
123,1,0.191843,7.316386,0.128370
124,1,0.187417,2.374812,0.086769
125,1,0.193762,3.097856,0.134682
126,1,0.185461,2.561027,0.157475
127,1,0.182316,5.708936,0.091303
128,1,0.178438,1.652622,0.229328
129,1,0.190695,2.830493,0.217185
130,1,0.169070,4.804473,0.277565
131,1,0.187261,1.299090,0.123922
132,1,0.177242,4.465804,0.050882
133,1,0.188794,2.959095,0.393829
134,1,0.183326,4.312100,0.154126
135,1,0.181146,5.404295,0.115971
136,1,0.185429,1.965336,0.106811
137,1,0.178503,3.466290,0.123191
138,1,0.200320,4.449830,0.107342
139,1,0.179174,5.959967,0.175816
140,1,0.175276,2.808332,0.136912
141,1,0.185835,4.642605,0.161850
142,1,0.195937,1.842082,0.100557
143,1,0.185567,2.005746,0.201298
144,1,0.207228,2.023687,0.150365
145,1,0.176908,4.551586,0.055895
146,1,0.178790,5.383432,0.196489
147,1,0.182211,5.170959,0.097408
148,1,0.175178,2.689445,0.069563
149,1,0.176085,2.968404,0.227531
150,1,0.159610,5.723468,0.114951
151,1,0.182668,1.683467,0.262399
152,1,0.186974,2.898273,0.126374
153,1,0.181495,7.535578,0.154754
154,1,0.193591,2.121408,0.081320
155,1,0.199884,3.001332,0.121054
156,1,0.182827,3.949690,0.083793
157,1,0.187227,3.653417,0.154333
158,1,0.201646,0.761891,0.228622
159,1,0.187831,1.784299,0.203870
160,1,0.179358,2.793553,0.066680
161,1,0.183842,4.586831,0.211102
162,1,0.191723,2.772390,0.112086
163,1,0.196537,2.761446,0.115308
164,1,0.170743,5.734714,0.117026
165,1,0.197775,1.656301,0.313939
166,1,0.198537,0.749521,0.076383
167,1,0.187665,3.154330,0.179021
168,1,0.182204,2.409564,0.194284
169,1,0.177281,2.574244,0.126289
170,1,0.185097,1.614085,0.141187
171,1,0.178093,1.892470,0.103302
172,1,0.179063,2.592553,0.138133
173,1,0.181488,3.166778,0.171107
174,1,0.200235,3.374971,0.103204
175,1,0.189566,3.900812,0.092318
176,1,0.185454,1.897883,0.156774
177,1,0.170500,3.567507,0.228488
178,1,0.183321,5.000403,0.116529
179,1,0.189433,6.413750,0.109677
180,1,0.180003,4.414224,0.139872
181,1,0.186097,4.803429,0.130824
182,1,0.170731,1.364793,0.110179
183,1,0.176296,4.141726,0.106421
184,1,0.188916,3.601097,0.132205
185,1,0.171765,3.949021,0.192429
186,1,0.189343,1.542593,0.065613
187,1,0.198823,3.312481,0.173397
188,1,0.181057,3.809828,0.201837
189,1,0.167968,4.873995,0.100654
190,1,0.183666,3.288215,0.087306
191,1,0.170516,3.130430,0.146710
192,1,0.184936,2.156711,0.141429
193,1,0.186954,4.262039,0.179033
194,1,0.199231,2.839257,0.167129
195,1,0.177307,1.865055,0.392945
196,1,0.181452,4.913989,0.216884
197,1,0.176379,2.208262,0.251377
198,1,0.183008,2.252392,0.142062
199,1,0.184551,2.063706,0.193299
200,1,0.196161,2.232493,0.320422
201,1,0.188573,2.307915,0.325974
202,1,0.195516,2.223532,0.122100
203,1,0.165032,2.606075,0.202200
204,1,0.197539,3.739470,0.161767
205,1,0.184572,3.818651,0.236714
206,1,0.169229,4.591485,0.207386
207,1,0.204715,3.975986,0.163114
208,1,0.187834,1.358167,0.081324
209,1,0.204378,4.669949,0.206342
210,1,0.177649,2.866070,0.130371
211,1,0.188167,3.817072,0.202022
212,1,0.181694,2.541852,0.062961
213,1,0.188568,3.470484,0.099166
214,1,0.172864,1.700941,0.243397
215,1,0.175160,5.170144,0.051992
216,1,0.193643,3.840007,0.241822
217,1,0.177019,4.353770,0.128724
218,1,0.175514,3.781035,0.084907
219,1,0.184777,1.180671,0.186802
220,1,0.187171,3.669921,0.115764
221,1,0.177720,5.076794,0.170616
222,1,0.187664,1.647120,0.049782
223,1,0.182911,0.884012,0.066310
224,1,0.199675,4.815571,0.174171
225,1,0.179634,3.590584,0.139693
226,1,0.172201,1.709793,0.292910
227,1,0.184433,3.637478,0.065990
228,1,0.220721,1.855925,0.048214
229,1,0.190128,4.579271,0.197213
230,1,0.179418,1.681473,0.079097
