iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.195672,5.512011,0.075209
2,1,0.212991,2.719142,0.224438
3,1,0.210359,5.771287,0.116785
4,1,0.224172,6.922060,0.187494
5,1,0.205179,8.268313,0.073093
6,1,0.210639,2.758890,0.162863
7,1,0.197944,4.840158,0.247823
8,1,0.214549,3.229602,0.184717
9,1,0.187877,4.472898,0.158676
10,1,0.202932,5.975644,0.127353
11,1,0.207233,4.375452,0.164387
12,1,0.213073,4.079632,0.066581
13,1,0.192504,3.340195,0.114419
14,1,0.196095,7.033939,0.182880
15,1,0.181241,5.365337,0.150261
16,1,0.203361,5.358518,0.285760
17,1,0.199209,6.138327,0.199588
18,1,0.199950,5.753439,0.134664
19,1,0.210599,4.067675,0.128686
20,1,0.199713,4.055856,0.146985
21,1,0.193806,4.214652,0.122012
22,1,0.195684,6.025570,0.143678
23,1,0.204596,2.068886,0.106882
24,1,0.190823,4.459150,0.111989
25,1,0.194147,7.352254,0.196500
26,1,0.182322,3.743033,0.212963
27,1,0.187954,5.364936,0.175659
28,1,0.177656,5.176680,0.249780
29,1,0.187563,2.527807,0.101226
30,1,0.200410,4.113226,0.175655
31,1,0.178143,6.327864,0.150827
32,1,0.185364,2.777125,0.309392
33,1,0.174102,4.133093,0.140741
34,1,0.190018,2.751783,0.050865
35,1,0.199832,4.577740,0.168189
36,1,0.187901,4.145867,0.134675
37,1,0.196608,4.252629,0.142671
38,1,0.185145,4.583457,0.063053
39,1,0.206973,3.023881,0.225305
40,1,0.192150,5.781356,0.167695
41,1,0.180860,4.772664,0.061628
42,1,0.180712,5.800552,0.060270
43,1,0.201288,1.827168,0.119651
44,1,0.187918,4.205273,0.446248
45,1,0.181756,3.550286,0.137917
46,1,0.202098,3.537174,0.137747
47,1,0.194530,4.049710,0.129216
48,1,0.177889,7.558249,0.093847
49,1,0.183105,2.913535,0.129781
50,1,0.176374,5.972922,0.064818
51,1,0.178359,5.047039,0.115104
52,1,0.196283,5.771212,0.044400
53,1,0.179442,3.060228,0.079868
54,1,0.178556,3.472099,0.352386
55,1,0.187180,2.863202,0.190282
56,1,0.189425,5.229051,0.080856
57,1,0.172774,3.950749,0.209443
58,1,0.194767,4.526690,0.084900
59,1,0.173804,7.202681,0.069740
60,1,0.170282,4.780315,0.097492
61,1,0.177348,2.077300,0.298763
62,1,0.179892,2.883832,0.150896
63,1,0.176119,3.366057,0.110650
64,1,0.196646,4.617910,0.142112
65,1,0.184799,4.191551,0.178704
66,1,0.169644,3.281438,0.182534
67,1,0.183149,5.005589,0.097456
68,1,0.197378,3.415379,0.048845
69,1,0.197179,6.054974,0.187867
70,1,0.184117,6.152412,0.108559
71,1,0.170098,4.833699,0.198075
72,1,0.169661,5.466138,0.162939
73,1,0.185388,2.831309,0.119382
74,1,0.178986,5.697360,0.060335
75,1,0.181399,6.143068,0.099707
76,1,0.180282,3.404409,0.085957
77,1,0.182838,3.536909,0.308407
78,1,0.185351,4.097617,0.157538
79,1,0.172110,3.212594,0.131519
80,1,0.175274,3.501093,0.117789
81,1,0.184228,2.366097,0.231602
82,1,0.185060,5.322752,0.146814
83,1,0.170630,4.832673,0.077034
84,1,0.179403,4.438767,0.105823
85,1,0.165246,4.961103,0.207710
86,1,0.179784,4.153955,0.300243
87,1,0.183379,3.025124,0.123340
88,1,0.183274,3.929758,0.104670
89,1,0.178488,2.127826,0.188698
90,1,0.175125,2.008374,0.077981
91,1,0.178319,2.598482,0.133600
92,1,0.184277,3.461482,0.188997
93,1,0.168465,2.293631,0.074788
94,1,0.195277,1.974533,0.197125
95,1,0.193313,2.850935,0.235480
96,1,0.182577,4.437186,0.146817
97,1,0.185709,5.582776,0.173399
98,1,0.180677,4.117136,0.237082
99,1,0.173788,1.811447,0.117072
100,1,0.182356,3.219368,0.166836
101,1,0.174135,4.784664,0.117328
102,1,0.181626,2.711840,0.192420
103,1,0.167356,6.705764,0.095072
104,1,0.174768,2.431183,0.188093
105,1,0.180821,3.212578,0.090602
106,1,0.163855,5.892530,0.066205
107,1,0.173399,2.309589,0.195267
108,1,0.176611,2.594235,0.084164
109,1,0.181624,3.321625,0.101403
110,1,0.178293,4.308747,0.120455
111,1,0.154800,5.306691,0.118325
112,1,0.184998,2.405953,0.251154
113,1,0.178662,4.947168,0.094764
114,1,0.191670,2.361765,0.300255
115,1,0.178493,7.279990,0.130682
116,1,0.171216,6.767812,0.096851
117,1,0.205867,0.487095,0.203790
118,1,0.191416,3.117804,0.205293
119,1,0.170712,2.509547,0.096421
120,1,0.173187,1.486351,0.108291
121,1,0.193552,3.920969,0.133992
122,1,0.184647,3.684015,0.090793
123,1,0.192270,7.265116,0.110560
124,1,0.186596,2.339152,0.124325
125,1,0.193057,3.079545,0.129543
