iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.213407,8.197682,0.173358
2,1,0.215688,6.564345,0.201385
3,1,0.219720,8.408401,0.112574
4,1,0.237315,5.976881,0.181936
5,1,0.212811,6.126861,0.185138
6,1,0.226991,3.754674,0.168507
7,1,0.209790,7.858173,0.117990
8,1,0.223714,4.706501,0.165217
9,1,0.221189,3.601178,0.232571
10,1,0.214186,7.445218,0.134805
11,1,0.215173,8.480953,0.226899
12,1,0.199413,5.566824,0.304650
13,1,0.201294,5.785925,0.300735
14,1,0.215050,5.560407,0.321548
15,1,0.228871,4.792420,0.157541
16,1,0.223010,7.776767,0.090888
17,1,0.222830,3.469635,0.114758
18,1,0.212889,3.738169,0.138996
19,1,0.206414,5.082664,0.200588
20,1,0.191679,2.963819,0.148327
21,1,0.190713,4.371456,0.223225
22,1,0.216734,4.656888,0.193799
23,1,0.197418,6.634392,0.152362
24,1,0.206884,6.553410,0.094297
25,1,0.202236,2.518804,0.084958
26,1,0.206467,6.008729,0.054647
27,1,0.207368,6.039730,0.133515
28,1,0.229665,4.872255,0.122089
29,1,0.223551,3.665438,0.111622
30,1,0.198171,4.739108,0.072390
31,1,0.219233,3.793966,0.216514
32,1,0.221421,3.895320,0.233637
33,1,0.225873,3.356120,0.204579
34,1,0.210285,5.221693,0.197919
35,1,0.230157,4.363971,0.159804
36,1,0.216367,5.993001,0.163445
37,1,0.213190,3.577130,0.209909
38,1,0.210824,5.582501,0.058927
39,1,0.220019,6.596206,0.112677
40,1,0.206986,3.882238,0.150449
41,1,0.230428,3.999703,0.107199
42,1,0.215544,3.883594,0.123389
43,1,0.217893,6.371658,0.160711
44,1,0.212088,4.451878,0.112987
45,1,0.206586,1.904752,0.240762
46,1,0.212247,4.084594,0.197676
47,1,0.216157,7.570830,0.188364
48,1,0.215684,7.730013,0.062046
49,1,0.202356,5.857270,0.178600
50,1,0.226309,5.132894,0.180038
51,1,0.212812,6.264686,0.207015
52,1,0.216668,6.943348,0.189298
53,1,0.220685,5.667349,0.221806
54,1,0.228425,6.822646,0.122082
55,1,0.226054,9.733089,0.118686
56,1,0.225476,5.953193,0.229967
57,1,0.216094,4.648583,0.303914
58,1,0.213038,4.988148,0.210582
59,1,0.196036,4.500105,0.087081
60,1,0.209152,5.435343,0.277103
61,1,0.211815,4.577448,0.142032
62,1,0.210833,3.487362,0.175029
63,1,0.207307,4.258932,0.135471
64,1,0.204028,3.680135,0.263370
65,1,0.195787,5.372658,0.252051
66,1,0.186810,4.096221,0.197406
67,1,0.181691,3.628866,0.164932
68,1,0.220753,5.664811,0.137495
69,1,0.202559,5.641601,0.169525
70,1,0.194406,3.016314,0.175505
71,1,0.189152,3.104375,0.114276
72,1,0.200226,4.139487,0.249155
73,1,0.182201,7.393259,0.083983
74,1,0.175629,4.613887,0.180826
75,1,0.193119,5.190233,0.221075
76,1,0.199198,5.696795,0.134676
77,1,0.191405,3.597031,0.278456
78,1,0.185309,5.577617,0.213804
79,1,0.177969,5.373357,0.108763
80,1,0.185180,5.201988,0.155767
81,1,0.182055,7.707718,0.162881
82,1,0.184784,5.349252,0.111950
83,1,0.176626,4.015124,0.132692
84,1,0.202678,4.958292,0.151321
85,1,0.181989,5.594227,0.247879
86,1,0.197708,5.834481,0.292144
87,1,0.211150,7.145578,0.164439
88,1,0.192327,6.352495,0.201510
89,1,0.217729,1.970898,0.234140
90,1,0.201493,5.678163,0.251093
91,1,0.189299,2.510115,0.121000
92,1,0.206212,7.225529,0.099039
93,1,0.216949,4.147802,0.142492
94,1,0.185838,3.439406,0.211628
95,1,0.201780,4.928914,0.264476
96,1,0.216895,7.033471,0.132023
97,1,0.213500,3.826450,0.143900
98,1,0.215217,8.221038,0.137469
99,1,0.234798,3.403442,0.149994
100,1,0.208224,5.485451,0.153556
101,1,0.211206,3.537581,0.118385
102,1,0.227107,2.483391,0.142284
103,1,0.207763,6.522645,0.214003
104,1,0.200444,4.727157,0.212009
105,1,0.219514,4.966478,0.185910
106,1,0.237955,5.253753,0.227958
107,1,0.222014,3.704789,0.150580
108,1,0.219338,2.485750,0.182382
109,1,0.239827,9.493958,0.204520
110,1,0.227358,4.965415,0.171763
111,1,0.239920,8.316198,0.260189
